ALERTA,MES,ANO,SENSOR,ESTADO,AREAKM2
degradacao,"2","2023",Landsat-8,RR,0.21
degradacao,"2","2023",Landsat-8,RR,0.15
degradacao,"2","2023",Sentinel-2,PA,6.76
degradacao,"2","2023",Sentinel-2,PA,2.12
degradacao,"2","2023",Sentinel-2,MT,2.12
degradacao,"2","2023",Sentinel-2,MT,1.25
degradacao,"2","2023",Sentinel-2,MT,0.56
degradacao,"2","2023",Sentinel-2,RO,0.54
degradacao,"2","2023",Sentinel-2,MT,0.52
degradacao,"2","2023",Sentinel-2,PA,0.40
degradacao,"2","2023",Sentinel-2,MT,0.39
degradacao,"2","2023",Sentinel-2,MT,0.22
degradacao,"2","2023",Sentinel-2,PA,0.19
degradacao,"2","2023",Sentinel-2,MT,0.18
degradacao,"2","2023",Sentinel-2,MT,0.16
degradacao,"2","2023",Sentinel-2,MT,0.14
degradacao,"2","2023",Sentinel-2,MT,0.14
degradacao,"2","2023",Sentinel-2,AC,0.03
degradacao,"2","2023",Sentinel-2,AC,0.02
degradacao,"2","2023",Landsat-8/Sentinel-1,AC,0.06
degradacao,"2","2023",Landsat-8,MT,0.51
degradacao,"2","2023",Landsat-8,MT,0.36
degradacao,"2","2023",Sentinel-2,MT,1.31
degradacao,"2","2023",Sentinel-2,RR,0.84
degradacao,"2","2023",Sentinel-2,RR,0.71
degradacao,"1","2023",Sentinel-2,PA,10.17
degradacao,"1","2023",Sentinel-2,MT,1.12
degradacao,"1","2023",Sentinel-2,PA,1.12
degradacao,"1","2023",Sentinel-2,MT,0.47
degradacao,"1","2023",Sentinel-2,RR,0.40
degradacao,"1","2023",Sentinel-2,RO,0.35
degradacao,"1","2023",Sentinel-2,PA,0.35
degradacao,"1","2023",Sentinel-2,MT,0.21
degradacao,"1","2023",Sentinel-2,MT,0.13
degradacao,"1","2023",Sentinel-2,MT,0.11
degradacao,"1","2023",Sentinel-2,MT,0.11
degradacao,"1","2023",Sentinel-2,MT,0.04
degradacao,"11","2022",Landsat-8,PA,5.25
