ALERTA,MES,ANO,SENSOR,ESTADO,AREAKM2,MUNICIPIO,ASSENTAMEN
degradacao,"2","2023",Sentinel-2,AC,0.03,Acrelândia,PA SÃO JOÃO DO BALANCEIO
degradacao,"2","2023",Sentinel-2,AC,0.02,Acrelândia,PA SÃO JOÃO DO BALANCEIO
degradacao,"11","2022",Landsat-8,AM,0.28,Boca do Acre,PAE ANTIMARY
degradacao,"11","2022",Landsat-8,AM,0.25,Boca do Acre,PAE ANTIMARY
degradacao,"11","2022",Landsat-8,AM,0.01,Lábrea,PA MONTE
degradacao,"11","2022",Landsat-8,AM,0.13,Boca do Acre,PAE ANTIMARY
degradacao,"11","2022",Landsat-8,AM,0.09,Boca do Acre,PAE ANTIMARY
degradacao,"11","2022",Landsat-8,AM,0.09,Boca do Acre,PAE ANTIMARY
degradacao,"11","2022",Landsat-8,MT,0.05,Vila Bela da Santíssima Trindade,PA GUAPORÉ
degradacao,"11","2022",Landsat-8,MT,0.04,Vila Bela da Santíssima Trindade,PA GUAPORÉ
degradacao,"11","2022",Landsat-8,AC,0.03,Senador Guiomard,PAD PEDRO PEIXOTO
degradacao,"11","2022",Landsat-8,AM,0.03,Boca do Acre,PAE ANTIMARY
degradacao,"11","2022",Landsat-8,AC,0.03,Acrelândia,PAD PEDRO PEIXOTO
degradacao,"11","2022",Sentinel-2,TO,9.28,Guaraí,PA PEDRA BRANCA
degradacao,"11","2022",Sentinel-2,MT,0.01,São Félix do Araguaia,PA DOM PEDRO
degradacao,"11","2022",Sentinel-2,TO,0.01,Guaraí,PA PEDRA BRANCA
degradacao,"11","2022",Sentinel-2,MT,2.80,Guarantã do Norte,PA CACHOEIRA DA UNIÃO
degradacao,"11","2022",Sentinel-2,MT,0.09,Guarantã do Norte,PA SÃO CRISTÓVÃO
degradacao,"11","2022",Sentinel-2,MT,2.52,Guarantã do Norte,PA BRAÇO SUL
degradacao,"11","2022",Sentinel-2,MT,2.42,Confresa,PA SANTO ANTONIO DO FONTOURA I
degradacao,"11","2022",Sentinel-2,TO,1.49,Guaraí,PA PEDRA BRANCA
degradacao,"11","2022",Sentinel-2,MT,1.21,Confresa,PA SANTO ANTONIO DO FONTOURA I
degradacao,"11","2022",Sentinel-2,MT,0.94,Confresa,PA SANTO ANTONIO DO FONTOURA II
degradacao,"11","2022",Sentinel-2,MT,0.99,Guarantã do Norte,PA BRAÇO SUL
degradacao,"11","2022",Sentinel-2,MT,0.81,Guarantã do Norte,PA SÃO CRISTÓVÃO
degradacao,"11","2022",Sentinel-2,MT,0.17,Guarantã do Norte,PA BRAÇO SUL
degradacao,"11","2022",Sentinel-2,MT,0.87,Peixoto de Azevedo,PE VIDA NOVA
degradacao,"11","2022",Sentinel-2,MT,0.86,Guarantã do Norte,PA SÃO CRISTÓVÃO
degradacao,"11","2022",Sentinel-2,AC,0.74,Bujari,PA ANTONIO DE HOLANDA
degradacao,"11","2022",Sentinel-2,AC,0.80,Bujari,PA ANTONIO DE HOLANDA
degradacao,"11","2022",Sentinel-2,MT,0.78,Guarantã do Norte,PA BRAÇO SUL
degradacao,"11","2022",Sentinel-2,MT,0.75,Cotriguaçu,PA NOVA COTRIGUAÇU
degradacao,"11","2022",Sentinel-2,MT,0.74,Confresa,PA SANTO ANTONIO DO FONTOURA I
degradacao,"11","2022",Sentinel-2,AC,0.57,Rio Branco,PA BARRO ALTO
degradacao,"11","2022",Sentinel-2,MT,0.57,Peixoto de Azevedo,PE VIDA NOVA
degradacao,"11","2022",Sentinel-2,MT,0.55,Nova Bandeirantes,PA JAPURANÃ
degradacao,"11","2022",Sentinel-2,AC,0.31,Rio Branco,PA BARRO ALTO
degradacao,"11","2022",Sentinel-2,AM,0.51,Apuí,PA RIO JUMA
degradacao,"11","2022",Sentinel-2,AM,0.46,Lábrea,PA MONTE
degradacao,"11","2022",Sentinel-2,MT,0.42,Guarantã do Norte,PA CACHOEIRA DA UNIÃO
degradacao,"11","2022",Sentinel-2,MT,0.41,Guarantã do Norte,PA BRAÇO SUL
degradacao,"11","2022",Sentinel-2,MT,0.40,Guarantã do Norte,PA BRAÇO SUL
degradacao,"11","2022",Sentinel-2,AC,0.40,Porto Acre,PA BANDEIRANTE
degradacao,"11","2022",Sentinel-2,MT,0.29,Vila Bela da Santíssima Trindade,PA GUAPORÉ
degradacao,"11","2022",Sentinel-2,AC,0.38,Capixaba,PAE REMANSO
degradacao,"11","2022",Sentinel-2,MT,0.32,Guarantã do Norte,PA SÃO CRISTÓVÃO
degradacao,"11","2022",Sentinel-2,MT,0.05,Guarantã do Norte,PA BRAÇO SUL
degradacao,"11","2022",Sentinel-2,MT,0.28,Nova Ubiratã,PA SANTA TEREZINHA II
degradacao,"11","2022",Sentinel-2,MT,0.26,Guarantã do Norte,PA SÃO CRISTÓVÃO
degradacao,"11","2022",Sentinel-2,MT,0.04,Guarantã do Norte,PA BRAÇO SUL
degradacao,"11","2022",Sentinel-2,MT,0.28,Guarantã do Norte,PA BRAÇO SUL
degradacao,"11","2022",Sentinel-2,PA,0.28,Mojuí dos Campos,PA MOJU I E II
degradacao,"11","2022",Sentinel-2,MT,0.27,Guarantã do Norte,PA BRAÇO SUL
degradacao,"11","2022",Sentinel-2,AC,0.21,Porto Acre,PA BANDEIRANTE
degradacao,"11","2022",Sentinel-2,AC,0.04,Bujari,PA ANTONIO DE HOLANDA
degradacao,"11","2022",Sentinel-2,MA,0.18,Bom Jardim,PA NASCENTE DO RIO AZUL
degradacao,"11","2022",Sentinel-2,TO,0.16,Guaraí,PA PEDRA BRANCA
degradacao,"11","2022",Sentinel-2,MT,0.15,Nova Bandeirantes,PA JAPURANÃ
degradacao,"11","2022",Sentinel-2,PA,0.14,Jacareacanga,PA JACARÉ
degradacao,"11","2022",Sentinel-2,AM,0.14,Lábrea,PA MONTE
degradacao,"11","2022",Sentinel-2,MT,0.13,Confresa,PA SANTO ANTONIO DO FONTOURA I
degradacao,"11","2022",Sentinel-2,MT,0.14,Confresa,PA SANTO ANTONIO DO FONTOURA II
degradacao,"11","2022",Sentinel-2,AM,0.14,Apuí,PA RIO JUMA
degradacao,"11","2022",Sentinel-2,MT,0.13,Nova Bandeirantes,PA JAPURANÃ
degradacao,"11","2022",Sentinel-2,AM,0.13,Apuí,PA RIO JUMA
