ALERTA,MES,ANO,SENSOR,ESTADO,AREAKM2,MUNICIPIO
degradacao,2,2023,Landsat-8,RR,0.21,Caracaraí
degradacao,2,2023,Landsat-8,RR,0.15,Caracaraí
degradacao,2,2023,Sentinel-2,PA,6.76,Oriximiná
degradacao,2,2023,Sentinel-2,PA,2.12,Dom Eliseu
degradacao,2,2023,Sentinel-2,MT,2.12,Colniza
degradacao,2,2023,Sentinel-2,MT,1.25,Colniza
degradacao,2,2023,Sentinel-2,MT,0.56,Colniza
degradacao,2,2023,Sentinel-2,RO,0.54,Machadinho D'Oeste
degradacao,2,2023,Sentinel-2,MT,0.52,Aripuanã
degradacao,2,2023,Sentinel-2,PA,0.40,Dom Eliseu
degradacao,2,2023,Sentinel-2,MT,0.39,Colniza
degradacao,2,2023,Sentinel-2,MT,0.22,Colniza
degradacao,2,2023,Sentinel-2,PA,0.19,Dom Eliseu
degradacao,2,2023,Sentinel-2,MT,0.18,Colniza
degradacao,2,2023,Sentinel-2,MT,0.16,Nova Canaã do Norte
degradacao,2,2023,Sentinel-2,MT,0.14,Colniza
degradacao,2,2023,Sentinel-2,MT,0.14,Nova Bandeirantes
degradacao,2,2023,Sentinel-2,AC,0.03,Acrelândia
degradacao,2,2023,Sentinel-2,AC,0.02,Acrelândia
degradacao,2,2023,Landsat-8/Sentinel-1,AC,0.06,Bujari
degradacao,2,2023,Landsat-8,MT,0.51,Aripuanã
degradacao,2,2023,Landsat-8,MT,0.36,Colniza
degradacao,2,2023,Sentinel-2,MT,1.31,Cotriguaçu
degradacao,2,2023,Sentinel-2,RR,0.84,Rorainópolis
degradacao,2,2023,Sentinel-2,RR,0.71,Mucajaí
degradacao,1,2023,Sentinel-2,PA,0.77,Redenção
degradacao,1,2023,Sentinel-2,PA,9.40,Pau D'Arco
degradacao,1,2023,Sentinel-2,MT,1.12,Marcelândia
degradacao,1,2023,Sentinel-2,PA,1.12,Novo Progresso
degradacao,1,2023,Sentinel-2,MT,0.47,Rondolândia
degradacao,1,2023,Sentinel-2,RR,0.40,Mucajaí
degradacao,1,2023,Sentinel-2,RO,0.35,Alta Floresta D'Oeste
degradacao,1,2023,Sentinel-2,PA,0.35,Novo Progresso
degradacao,1,2023,Sentinel-2,MT,0.21,Rondolândia
degradacao,1,2023,Sentinel-2,MT,0.13,Marcelândia
degradacao,1,2023,Sentinel-2,MT,0.11,Rondolândia
degradacao,1,2023,Sentinel-2,MT,0.11,Rondolândia
degradacao,1,2023,Sentinel-2,MT,0.04,Rondolândia
degradacao,11,2022,Landsat-8,PA,5.25,Novo Progresso
degradacao,11,2022,Landsat-8,MT,2.69,Castanheira
degradacao,11,2022,Landsat-8,MT,2.67,Aripuanã
degradacao,11,2022,Landsat-8,PA,0.13,Novo Progresso
degradacao,11,2022,Landsat-8,PA,2.49,Altamira
degradacao,11,2022,Landsat-8,PA,2.44,Novo Progresso
degradacao,11,2022,Landsat-8,PA,1.64,Novo Progresso
degradacao,11,2022,Landsat-8,MT,1.27,Juruena
degradacao,11,2022,Landsat-8,PA,1.22,Altamira
degradacao,11,2022,Landsat-8,MT,1.22,Aripuanã
degradacao,11,2022,Landsat-8,AM,1.09,Pauini
degradacao,11,2022,Landsat-8,MT,1.05,Aripuanã
degradacao,11,2022,Landsat-8,PA,0.99,Novo Progresso
