ALERTA,MES,ANO,SENSOR,ESTADO,AREAKM2,MUNICIPIO,TI
degradacao,1,2023,Sentinel-2,MT,0.47,Rondolândia,TI Zoró
degradacao,1,2023,Sentinel-2,RO,0.35,Alta Floresta D'Oeste,TI Massaco
degradacao,1,2023,Sentinel-2,MT,0.21,Rondolândia,TI Zoró
degradacao,1,2023,Sentinel-2,MT,0.11,Rondolândia,TI Zoró
degradacao,1,2023,Sentinel-2,MT,0.04,Rondolândia,TI Zoró
degradacao,11,2022,Landsat-8,AM,0.93,Pauini,TI Peneri/Tacaquiri
degradacao,11,2022,Landsat-8,MT,0.06,Nova Lacerda,TI Pequizal
degradacao,11,2022,Landsat-8,MT,0.05,Nova Lacerda,TI Pequizal
degradacao,11,2022,Landsat-8,AM,0.02,Pauini,TI Peneri/Tacaquiri
degradacao,11,2022,Sentinel-1,MT,3.25,Novo São Joaquim,TI Sangradouro/Volta Grande
degradacao,11,2022,Sentinel-1,AM,0.04,Pauini,TI Peneri/Tacaquiri
degradacao,11,2022,Sentinel-2,MT,12.24,Querência,PI Xingu
degradacao,11,2022,Sentinel-2,MT,12.15,Aripuanã,TI Aripuanã
degradacao,11,2022,Sentinel-2,MT,10.33,Nova Ubiratã,PI Xingu
degradacao,11,2022,Sentinel-2,MT,2.11,Conquista D'Oeste,TI Sararé
degradacao,11,2022,Sentinel-2,MT,4.69,Conquista D'Oeste,TI Sararé
degradacao,11,2022,Sentinel-2,MT,4.43,Peixoto de Azevedo,TI Capoto/Jarina
degradacao,11,2022,Sentinel-2,MT,4.42,Querência,TI Wawi
degradacao,11,2022,Sentinel-2,MT,4.05,Querência,TI Wawi
degradacao,11,2022,Sentinel-2,MT,3.38,Marcelândia,PI Xingu
degradacao,11,2022,Sentinel-2,MT,0.02,Peixoto de Azevedo,TI Capoto/Jarina
degradacao,11,2022,Sentinel-2,MT,2.36,Querência,PI Xingu
degradacao,11,2022,Sentinel-2,MT,1.93,Conquista D'Oeste,TI Sararé
degradacao,11,2022,Sentinel-2,MT,1.87,Feliz Natal,PI Xingu
degradacao,11,2022,Sentinel-2,MT,1.60,Peixoto de Azevedo,TI Capoto/Jarina
degradacao,11,2022,Sentinel-2,MT,1.57,Nova Ubiratã,PI Xingu
degradacao,11,2022,Sentinel-2,MT,1.33,Querência,TI Wawi
degradacao,11,2022,Sentinel-2,MT,1.32,Peixoto de Azevedo,TI Capoto/Jarina
degradacao,11,2022,Sentinel-2,MT,0.16,Gaúcha do Norte,PI Xingu
degradacao,11,2022,Sentinel-2,MT,0.83,Aripuanã,TI Aripuanã
degradacao,11,2022,Sentinel-2,MT,0.68,Nova Ubiratã,PI Xingu
degradacao,11,2022,Sentinel-2,PA,0.64,Jacareacanga,TI Mundurucu
degradacao,11,2022,Sentinel-2,MT,0.61,Querência,TI Wawi
degradacao,11,2022,Sentinel-2,MT,0.59,Nova Lacerda,TI Pequizal
degradacao,11,2022,Sentinel-2,MT,0.52,Gaúcha do Norte,PI Xingu
degradacao,11,2022,Sentinel-2,MT,0.50,Querência,PI Xingu
degradacao,11,2022,Sentinel-2,MT,0.20,Nova Lacerda,TI Vale do Guaporé
degradacao,11,2022,Sentinel-2,MT,0.48,Nova Ubiratã,PI Xingu
degradacao,11,2022,Sentinel-2,RO,0.46,Vilhena,PI Aripuanã
degradacao,11,2022,Sentinel-2,AM,0.41,Pauini,TI Peneri/Tacaquiri
degradacao,11,2022,Sentinel-2,MT,0.37,Nova Ubiratã,PI Xingu
degradacao,11,2022,Sentinel-2,PA,0.34,Ipixuna do Pará,TI Sarauá
degradacao,11,2022,Sentinel-2,PA,0.30,Ipixuna do Pará,TI Sarauá
degradacao,11,2022,Sentinel-2,MT,0.29,Nova Lacerda,TI Vale do Guaporé
degradacao,11,2022,Sentinel-2,MT,0.28,Querência,TI Wawi
degradacao,11,2022,Sentinel-2,MT,0.28,Querência,TI Wawi
degradacao,11,2022,Sentinel-2,MT,0.26,Querência,TI Wawi
degradacao,11,2022,Sentinel-2,PA,0.25,Ipixuna do Pará,TI Sarauá
degradacao,11,2022,Sentinel-2,MT,0.23,Querência,TI Wawi
degradacao,11,2022,Sentinel-2,PA,0.16,Ipixuna do Pará,TI Sarauá
degradacao,11,2022,Sentinel-2,AM,0.15,Pauini,TI Peneri/Tacaquiri
degradacao,11,2022,Sentinel-2,MA,0.14,Sítio Novo,TI Krikati
degradacao,11,2022,Sentinel-2,MT,0.13,Conquista D'Oeste,TI Sararé
degradacao,11,2022,Sentinel-2,PA,0.10,Ipixuna do Pará,TI Sarauá
degradacao,11,2022,Sentinel-2,RO,0.10,Guajará-Mirim,TI Igarapé Lage
degradacao,11,2022,Sentinel-2,AM,0.06,Pauini,TI Peneri/Tacaquiri
degradacao,11,2022,Sentinel-2,MT,0.06,Nova Lacerda,TI Vale do Guaporé
degradacao,11,2022,Sentinel-2,PA,0.05,Ipixuna do Pará,TI Sarauá
degradacao,11,2022,Sentinel-2,MT,0.04,Nova Lacerda,TI Vale do Guaporé
degradacao,11,2022,Sentinel-2,MT,0.04,Aripuanã,TI Aripuanã
degradacao,11,2022,Sentinel-2,PA,0.04,Ipixuna do Pará,TI Sarauá
degradacao,11,2022,Sentinel-2,AM,0.03,Pauini,TI Peneri/Tacaquiri
degradacao,11,2022,Sentinel-2,MT,0.03,Nova Lacerda,TI Pequizal
degradacao,11,2022,Sentinel-2,MT,0.03,Peixoto de Azevedo,TI Capoto/Jarina
degradacao,11,2022,Sentinel-2,PA,0.03,Ipixuna do Pará,TI Sarauá
degradacao,11,2022,Sentinel-2,MT,0.02,Nova Lacerda,TI Vale do Guaporé
degradacao,11,2022,Sentinel-2,MT,0.02,Nova Lacerda,TI Vale do Guaporé
degradacao,11,2022,Sentinel-2,PA,0.02,Ipixuna do Pará,TI Sarauá
degradacao,11,2022,Sentinel-2,MT,0.01,Nova Lacerda,TI Vale do Guaporé
degradacao,11,2022,Sentinel-2,MT,0.01,Nova Lacerda,TI Vale do Guaporé
degradacao,8,2022,Landsat-8,MT,0.08,Gaúcha do Norte,TI Pequizal do Naruvôtu
