ALERTA,MES,ANO,SENSOR,ESTADO,AREAKM2,MUNICIPIO,UNID_CONSE,USO,JURISDICAO
degradacao,2,2023,Sentinel-2,PA,6.76,Oriximiná,FLONA de Saracá-Taquera,Uso Sustentável,Federal
degradacao,2,2023,Sentinel-2,RO,0.54,Machadinho D'Oeste,PARNA dos Campos Amazônicos,Proteção Integral,Federal
degradacao,2,2023,Sentinel-2,MT,1.31,Cotriguaçu,PES Igarapés do Juruena,Proteção Integral,Estadual
degradacao,1,2023,Sentinel-2,PA,1.12,Novo Progresso,FLONA do Jamanxim,Uso Sustentável,Federal
degradacao,1,2023,Sentinel-2,RO,0.35,Alta Floresta D'Oeste,REBIO do Guaporé,Proteção Integral,Federal
degradacao,1,2023,Sentinel-2,PA,0.35,Novo Progresso,FLONA do Jamanxim,Uso Sustentável,Federal
degradacao,11,2022,Landsat-8,PA,0.99,Novo Progresso,FLONA do Jamanxim,Uso Sustentável,Federal
degradacao,11,2022,Sentinel-2,AM,1.57,Novo Aripuanã,FLONA do Aripuanã,Uso Sustentável,Federal
degradacao,11,2022,Sentinel-2,AM,0.04,Lábrea,PARNA Mapinguari,Proteção Integral,Federal
degradacao,11,2022,Sentinel-2,RO,0.77,Guajará-Mirim,RESEX do Rio Ouro Preto,Uso Sustentável,Federal
degradacao,11,2022,Sentinel-2,AM,0.07,Lábrea,PARNA Mapinguari,Proteção Integral,Federal
degradacao,11,2022,Sentinel-2,PA,0.70,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,11,2022,Sentinel-2,MT,0.36,Colniza,PARNA dos Campos Amazônicos,Proteção Integral,Federal
degradacao,11,2022,Sentinel-2,MT,0.49,Colniza,PES Tucumã,Proteção Integral,Estadual
degradacao,11,2022,Sentinel-2,PA,0.49,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,11,2022,Sentinel-2,AC,0.42,Xapuri,RESEX Chico Mendes,Uso Sustentável,Federal
degradacao,11,2022,Sentinel-2,AC,0.38,Rio Branco,RESEX Chico Mendes,Uso Sustentável,Federal
degradacao,11,2022,Sentinel-2,PA,0.39,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,11,2022,Sentinel-2,AC,0.23,Rio Branco,APA do Lago do Amapá,Uso Sustentável,Estadual
degradacao,11,2022,Sentinel-2,AM,0.31,Novo Aripuanã,FLONA do Aripuanã,Uso Sustentável,Federal
degradacao,11,2022,Sentinel-2,RO,0.01,Machadinho D'Oeste,PARNA dos Campos Amazônicos,Proteção Integral,Federal
degradacao,11,2022,Sentinel-2,PA,0.25,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,11,2022,Sentinel-2,RO,0.25,Porto Velho,FERS do Rio Madeira (B),Uso Sustentável,Estadual
