ALERTA,MES,ANO,SENSOR,ESTADO,AREAKM2,MUNICIPIO,ASSENTAMEN
desmatamento,3,2025,Sentinel-2,RR,0.09,Rorainópolis,PA LADEIRÃO
desmatamento,3,2025,Landsat-8,AM,8.04,Apuí,PA RIO JUMA
desmatamento,3,2025,Landsat-8,AM,1.76,Apuí,PA RIO JUMA
desmatamento,3,2025,Landsat-8,AM,1.43,Apuí,PA RIO JUMA
desmatamento,3,2025,Landsat-8,PA,1.34,Uruará,PAC NOVA UNIÃO
desmatamento,3,2025,Landsat-8,AM,1.24,Apuí,PA RIO JUMA
desmatamento,3,2025,Landsat-8,RR,0.81,Rorainópolis,PAD ANAUÁ
desmatamento,3,2025,Landsat-8,AM,0.71,Humaitá,PAE SANTA MARIA AUXILIADORA
desmatamento,3,2025,Landsat-8,RO,0.58,Candeias do Jamari,PAF JEQUITIBÁ
desmatamento,3,2025,Landsat-8,RR,0.07,Cantá,PA TATAJUBA
desmatamento,3,2025,Landsat-8,AM,0.45,Borba,PAE MARIPITI
desmatamento,3,2025,Landsat-8,AM,0.42,Humaitá,PAE SANTA MARIA AUXILIADORA
desmatamento,3,2025,Landsat-8,MA,0.42,Barra do Corda,PIC - BARRA DO CORDA
desmatamento,3,2025,Landsat-8,AM,0.42,Apuí,PA RIO JUMA
desmatamento,3,2025,Landsat-8,AM,0.36,Apuí,PA RIO JUMA
desmatamento,3,2025,Landsat-8,PA,0.34,Trairão,PA RIO BONITO
desmatamento,3,2025,Landsat-8,RO,0.33,Candeias do Jamari,PAF JEQUITIBÁ
desmatamento,3,2025,Landsat-8,AM,0.28,Apuí,PA RIO JUMA
desmatamento,3,2025,Landsat-8,AM,0.24,Boca do Acre,PAE ANTIMARY
desmatamento,3,2025,Landsat-8,RR,0.22,Rorainópolis,PAD ANAUÁ
desmatamento,3,2025,Landsat-8,PA,0.19,Mojuí dos Campos,PAC BOM SOSSEGO
desmatamento,3,2025,Landsat-8,RR,0.17,Caracaraí,PA SERRA DOURADA
desmatamento,3,2025,Landsat-8,RR,0.16,Cantá,PA TABOCA
desmatamento,3,2025,Landsat-8,PA,0.16,Jacareacanga,PA JACARÉ
desmatamento,3,2025,Landsat-8,PA,0.15,Placas,PA MOJU I E II
desmatamento,3,2025,Landsat-8,MA,0.13,Buriti Bravo,PA LAGOA DO GADO
desmatamento,3,2025,Landsat-8,RR,0.12,Rorainópolis,PAD ANAUÁ
desmatamento,3,2025,Landsat-8,PA,0.12,Pacajá,PA RIO CURURUÍ
desmatamento,3,2025,Landsat-8,RR,0.12,Caracaraí,PA  ARCO-ÍRIS
desmatamento,3,2025,Landsat-8,AM,0.11,Boca do Acre,PAE ANTIMARY
desmatamento,3,2025,Landsat-8,MT,0.11,Colniza,PA ESCOL SUL
desmatamento,3,2025,Landsat-8,MT,0.11,Matupá,PA SÃO JOSÉ UNIÃO
desmatamento,3,2025,Landsat-8,AC,0.10,Sena Madureira,PAE RIOZINHO
desmatamento,3,2025,Landsat-8,MT,0.09,Pontes e Lacerda,PA BARRA DO MARCO
desmatamento,3,2025,Landsat-8,RR,0.09,Caracaraí,PA SERRA DOURADA
desmatamento,3,2025,Landsat-8,RO,0.09,Buritis,PA MENEZES FILHO
desmatamento,3,2025,Landsat-8,RR,0.09,Caroebe,PA JATAPU
desmatamento,3,2025,Landsat-8,PA,0.08,Placas,PA MOJU I E II
desmatamento,3,2025,Landsat-8,PA,0.01,Mojuí dos Campos,PA MOJU I E II
desmatamento,3,2025,Landsat-8,PA,0.09,Mojuí dos Campos,PA MOJU I E II
desmatamento,3,2025,Landsat-8,RR,0.09,Cantá,PA TABOCA
desmatamento,3,2025,Landsat-8,PA,0.09,Mojuí dos Campos,PAC BOM SOSSEGO
desmatamento,3,2025,Landsat-8,PA,0.09,Novo Repartimento,PA TUERE
desmatamento,3,2025,Landsat-8,PA,0.08,Novo Repartimento,PA TUERE
