ALERTA,MES,ANO,SENSOR,ESTADO,AREAKM2,MUNICIPIO,TERRA_INDI
desmatamento,"2","2023",Landsat-8/Sentinel-1,AM,0.05,Boca do Acre,TI Apurinã km-124 BR-317
desmatamento,"2","2023",Sentinel-2,AM,0.34,Manicoré,TI Tenharim Marmelos (Gleba B)
desmatamento,"2","2023",Sentinel-2,AM,0.33,Manicoré,TI Tenharim Marmelos (Gleba B)
desmatamento,"2","2023",Sentinel-2,PA,0.17,São Félix do Xingu,TI Apyterewa
desmatamento,"2","2023",Sentinel-2,MT,0.17,Rondolândia,TI Zoró
desmatamento,"2","2023",Sentinel-2,MT,0.15,Rondolândia,TI Sete de Setembro
desmatamento,"2","2023",Sentinel-2,MT,0.10,Rondolândia,TI Sete de Setembro
desmatamento,"2","2023",Sentinel-2,AM,0.09,Manicoré,TI Tenharim Marmelos (Gleba B)
desmatamento,"2","2023",Sentinel-2,MT,0.07,Colniza,TI Piripkura
desmatamento,"2","2023",Sentinel-2,PA,0.03,Cumaru do Norte,TI Kayapó
desmatamento,"2","2023",Sentinel-2,PA,0.03,Cumaru do Norte,TI Kayapó
desmatamento,"2","2023",Sentinel-2,AM,0.03,São Gabriel da Cachoeira,TI Médio Rio Negro I
desmatamento,"2","2023",Sentinel-2,AM,0.02,Benjamin Constant,TI Sururuá
desmatamento,"2","2023",Sentinel-2,AM,0.02,São Gabriel da Cachoeira,TI Alto Rio Negro
desmatamento,"2","2023",Sentinel-2,AM,0.02,São Gabriel da Cachoeira,TI Alto Rio Negro
desmatamento,"1","2023",Landsat-9,RR,0.05,Caracaraí,TI Jacamim
desmatamento,"1","2023",Landsat-9,PA,0.03,Altamira,TI Cachoeira Seca
desmatamento,"1","2023",Landsat-9,RR,0.03,Bonfim,TI Moskow
desmatamento,"1","2023",Landsat-8,AM,0.02,São Gabriel da Cachoeira,TI Alto Rio Negro
desmatamento,"1","2023",Landsat-8,AM,0.02,São Gabriel da Cachoeira,TI Alto Rio Negro
desmatamento,"1","2023",Landsat-8,AM,0.02,São Gabriel da Cachoeira,TI Alto Rio Negro
desmatamento,"1","2023",Landsat-8,RO,0.02,Nova Mamoré,TI Karipuna
desmatamento,"1","2023",Sentinel-2,RR,0.16,Amajari,TI Santa Inês
desmatamento,"1","2023",Sentinel-2,MT,0.06,Comodoro,TI Vale do Guaporé
desmatamento,"1","2023",Sentinel-2,RR,0.05,Bonfim,TI Moskow
desmatamento,"1","2023",Sentinel-2,MA,0.05,Montes Altos,TI Krikati
desmatamento,"1","2023",Sentinel-2,MT,0.05,Comodoro,TI Vale do Guaporé
desmatamento,"1","2023",Sentinel-2,RR,0.04,Amajari,TI Santa Inês
desmatamento,"1","2023",Sentinel-2,RR,0.03,Bonfim,TI Manoá/Pium
desmatamento,"1","2023",Sentinel-2,RR,0.03,Amajari,TI Santa Inês
desmatamento,"1","2023",Sentinel-2,AM,0.03,São Gabriel da Cachoeira,TI Alto Rio Negro
desmatamento,"1","2023",Sentinel-2,AM,0.03,São Gabriel da Cachoeira,TI Alto Rio Negro
desmatamento,"1","2023",Sentinel-2,AM,0.03,São Gabriel da Cachoeira,TI Alto Rio Negro
desmatamento,"1","2023",Sentinel-2,AM,0.02,São Gabriel da Cachoeira,TI Alto Rio Negro
desmatamento,"1","2023",Sentinel-2,AM,0.02,São Gabriel da Cachoeira,TI Alto Rio Negro
desmatamento,"1","2023",Sentinel-2,RR,0.02,Bonfim,TI Manoá/Pium
desmatamento,"1","2023",Sentinel-2,AM,0.02,São Gabriel da Cachoeira,TI Alto Rio Negro
desmatamento,"1","2023",Sentinel-2,AM,0.02,São Gabriel da Cachoeira,TI Alto Rio Negro
desmatamento,"1","2023",Sentinel-2,AM,0.02,São Gabriel da Cachoeira,TI Alto Rio Negro
desmatamento,"1","2023",Sentinel-2,AM,0.02,São Gabriel da Cachoeira,TI Alto Rio Negro
desmatamento,"1","2023",Sentinel-2,AM,0.02,São Gabriel da Cachoeira,TI Alto Rio Negro
desmatamento,"1","2023",Sentinel-2,MT,0.02,Comodoro,TI Vale do Guaporé
desmatamento,"1","2023",Sentinel-2,AM,0.01,São Gabriel da Cachoeira,TI Alto Rio Negro
desmatamento,"1","2023",Sentinel-2,RR,0.01,Bonfim,TI Manoá/Pium
desmatamento,"1","2023",Sentinel-2,RR,0.01,Bonfim,TI Moskow
desmatamento,"1","2023",Sentinel-2,RR,0.01,Cantá,TI Malacacheta
desmatamento,"10","2022",Sentinel-1,PA,0.22,São Félix do Xingu,TI Apyterewa
desmatamento,"10","2022",Sentinel-1,PA,0.15,Altamira,TI Cachoeira Seca
desmatamento,"10","2022",Sentinel-1,PA,0.09,São Félix do Xingu,TI Apyterewa
desmatamento,"10","2022",Sentinel-1,PA,0.07,São Félix do Xingu,TI Apyterewa
