ALERTA,MES,ANO,SENSOR,ESTADO,AREAKM2,MUNICIPIO,UC,USO,JURISDICAO
desmatamento,3,2025,Landsat-8,PA,5.17,Itaituba,APA do Tapajós,Uso Sustentável,Federal
desmatamento,3,2025,Landsat-8,PA,1.14,Itaituba,APA do Tapajós,Uso Sustentável,Federal
desmatamento,3,2025,Landsat-8,PA,0.75,Novo Repartimento,APA do Lago de Tucuruí,Uso Sustentável,Estadual
desmatamento,3,2025,Landsat-8,PA,0.39,Itaituba,APA do Tapajós,Uso Sustentável,Federal
desmatamento,3,2025,Landsat-8,MT,0.19,Colniza,RESEX Guariba-Roosevelt,Uso Sustentável,Estadual
desmatamento,3,2025,Landsat-8,PA,0.16,Itaituba,APA do Tapajós,Uso Sustentável,Federal
desmatamento,3,2025,Landsat-8,AC,0.14,Rio Branco,APA do Igarapé São Francisco,Uso Sustentável,Estadual
desmatamento,3,2025,Landsat-8,RO,0.12,Cujubim,RESEX Rio Preto-Jacundá,Uso Sustentável,Estadual
desmatamento,3,2025,Landsat-8,AC,0.12,Feijó,FES Afluente do Complexo do Seringal Jurupari,Uso Sustentável,Estadual
desmatamento,3,2025,Landsat-8,RO,0.11,Porto Velho,RESEX Jaci Paraná,Uso Sustentável,Estadual
desmatamento,3,2025,Landsat-8,PA,0.03,Prainha,RESEX Renascer,Uso Sustentável,Federal
desmatamento,3,2025,Landsat-8,PA,0.03,São Geraldo do Araguaia,APA de São Geraldo do Araguaia,Uso Sustentável,Estadual
desmatamento,3,2025,Landsat-8,PA,0.02,Prainha,RESEX Renascer,Uso Sustentável,Federal
desmatamento,3,2025,Landsat-8,AC,0.01,Feijó,FES Afluente do Complexo do Seringal Jurupari,Uso Sustentável,Estadual
desmatamento,3,2025,Sentinel-2,RO,0.03,Machadinho D'Oeste,RESEX Rio Preto-Jacundá,Uso Sustentável,Estadual
desmatamento,3,2025,Sentinel-2,RO,0.03,Machadinho D'Oeste,RESEX Rio Preto-Jacundá,Uso Sustentável,Estadual
desmatamento,3,2025,Sentinel-2,AC,0.03,Brasiléia,RESEX Chico Mendes,Uso Sustentável,Federal
desmatamento,2,2023,Sentinel-1,PA,0.05,Itaituba,APA do Tapajós,Uso Sustentável,Federal
desmatamento,2,2023,Sentinel-1,AM,0.04,Maués,ESEC Alto Maués,Proteção Integral,Federal
desmatamento,2,2023,Sentinel-2,MT,0.03,Aripuanã,RESEX Guariba-Roosevelt,Uso Sustentável,Estadual
desmatamento,2,2023,Sentinel-2,PA,3.36,São Félix do Xingu,APA Triunfo do Xingu,Uso Sustentável,Estadual
desmatamento,2,2023,Sentinel-2,PA,3.31,Novo Progresso,FLONA do Jamanxim,Uso Sustentável,Federal
desmatamento,2,2023,Sentinel-2,PA,2.62,Altamira,APA Triunfo do Xingu,Uso Sustentável,Estadual
desmatamento,2,2023,Sentinel-2,PA,2.41,Altamira,APA Triunfo do Xingu,Uso Sustentável,Estadual
desmatamento,2,2023,Sentinel-2,PA,2.01,Altamira,APA Triunfo do Xingu,Uso Sustentável,Estadual
desmatamento,2,2023,Sentinel-2,AM,0.14,Canutama,PARNA Mapinguari,Proteção Integral,Federal
desmatamento,2,2023,Sentinel-2,PA,1.46,Altamira,APA Triunfo do Xingu,Uso Sustentável,Estadual
