sigla_uf,area_ha,categoria,ano,name,sub_class,nome,geocodigo
AM,17.7260926551,não autorizada,2023,PAE ARIPUANÃ-GUARIBA,ARU,Novo Aripuanã,1303304
AM,17.7260926551,não autorizada,2023,PAE ARIPUANÃƒ-GUARIBA,COM,Novo Aripuanã,1303304
AM,79.2293192084,não autorizada,2023,PAE SANTA MARIA AUXILIADORA,COM,Canutama,1300904
AM,545.686776828,não autorizada,2023,PAE ANTIMARY,ARU,Boca do Acre,1300706
AM,545.686776828,não autorizada,2023,PAE ANTIMARY,COM,Boca do Acre,1300706
AM,658.766529853,não autorizada,2023,PAE ANTIMARY,ARU,Boca do Acre,1300706
AM,658.766529853,não autorizada,2023,PAE ANTIMARY,COM,Boca do Acre,1300706
AM,360.662950797,não autorizada,2023,FLONA BALATA TUFARÍ,ARU,Canutama,1300904
MT,39.7102588013,não autorizada,2016,PA JAPURANOMANN,ARU,Nova Bandeirantes,5106158
MT,127.837306296,não autorizada,2016,PA TIBAGI,ARU,Brasnorte,5101902
MT,375.625451366,não autorizada,2016,PDS 12 DE OUTUBRO,ARU,Cláudia,5103056
MT,375.625451366,não autorizada,2016,PDS 12 DE OUTUBRO,COM,Cláudia,5103056
MT,149.682069264,não autorizada,2016,PA ENA,ARU,Feliz Natal,5103700
MT,11.0719549866,não autorizada,2016,PA PONTAL DO MARAPE,ARU,Nova Mutum,5106224
MT,394.928009364,não autorizada,2015,RESERVA EXTRATIVISTA GUARIBA-ROOSEVELT,COM,Colniza,5103254
MT,41.9137910699,não autorizada,2015,PA JAPURANOMANN,ARU,Nova Bandeirantes,5106158
MT,87.2164945478,não autorizada,2015,TERRA INDIGENA MENKÃœ,COM,Brasnorte,5101902
MT,147.797989336,não autorizada,2015,PA TIBAGI,ARU,Brasnorte,5101902
MT,28.2327289763,não autorizada,2015,PA COTREL,ARU,Novo Mundo,5106265
MT,28.0956739725,não autorizada,2015,PA COTREL,ARU,Novo Mundo,5106265
MT,28.0956739725,não autorizada,2015,PA COTREL,ARU,Guarantã do Norte,5104104
MT,142.792994882,não autorizada,2015,PA TAPURAH/ITANHANGA,ARU,Itanhangá,5104542
MT,141.405316576,não autorizada,2015,PDS 12 DE OUTUBRO,ARU,Cláudia,5103056
MT,141.405316576,não autorizada,2015,PDS 12 DE OUTUBRO,COM,Cláudia,5103056
MT,19.9608582361,não autorizada,2015,PA ANTONIO SOARES,ARU,Peixoto de Azevedo,5106422
MT,42.9446975938,não autorizada,2015,PA BONJAGUÁ,ARU,Marcelândia,5105580
